Product ID,SKU,Product Name,Created Date,Brand,Categories,Type ID,Bundle,Stock Tracked,Status,UPC,ISBN,EAN,Barcode,Seasons,Sales popup message,Warehouse popup message,Tax Code,Weight,Height,Width,Length,Primary Supplier Company,All suppliers,Short Description,Long Description,Reorder Level,Reorder Quantity
6541,TE6X25 x 25,25M X CABLE 6242Y TWIN & EARTH 6MM (DRUM),2014-06-15T10:47:46.000+01:00,99,578,1,true,false,LIVE,UPC,B00ODEBE0Y,** BUNDLE **,** BUNDLE **,3,Sales popup message,Warehouse popup message,T20,0,0,0,0,Primary Supplier Company - ambiguous,All suppliers - ambiguous,,,0,0
6539,TE16X25,Twin & Earth Cable 6242YH 16 mm Grey (From 25M Drum),2014-06-15T10:45:36.000+01:00,85,800,1,false,true,LIVE,UPC,NULL,N,N,2,Sales popup message,Warehouse popup message,T20,13730,165,250,250,Primary Supplier Company - ambiguous,All suppliers - ambiguous,,,0,0
6542,TE10X25 x 25,25M X CABLE 6242Y TWIN & EARTH 10MM (DRUM),2014-06-15T10:48:17.000+01:00,99,578,1,true,false,LIVE,UPC,B00721DKG6,** BUNDLE **,** BUNDLE **,3,Sales popup message,Warehouse popup message,T20,0,0,0,0,Primary Supplier Company - ambiguous,All suppliers - ambiguous,,,0,0
6543,TE16X25 x 25,25M X CABLE 6242Y TWIN & EARTH 16MM (DRUM),2014-06-15T10:48:50.000+01:00,99,578,1,true,false,LIVE,UPC,B00ODE7K5M,** BUNDLE **,** BUNDLE **,3,Sales popup message,Warehouse popup message,T20,0,0,0,0,Primary Supplier Company - ambiguous,All suppliers - ambiguous,,,0,0
6544,TE10X50,Twin & Earth Cable 6242YH 10 mm Grey (From 50 Metre Drum),2014-06-15T10:57:20.000+01:00,85,800,1,false,true,LIVE,UPC,NULL,N,N,1,Sales popup message,Warehouse popup message,T20,18650,350,180,180,Primary Supplier Company - ambiguous,All suppliers - ambiguous,,,100,50
6546,TE10X50 x 50,50M X TWIN AND EARTH CABLE 6242YH 10 MM,2014-06-15T11:00:35.000+01:00,99,276,1,true,false,LIVE,UPC,NULL,** BUNDLE **,** BUNDLE **,3,Sales popup message,Warehouse popup message,T20,0,0,0,0,Primary Supplier Company - ambiguous,All suppliers - ambiguous,<p><span style=font-family: 'Trebuchet MS'; font-size: large;>Twin and Earth Cable and 3 core and Earth Cable</span></p><div><span style=font-family: 'Trebuchet MS'; font-size: large;>&nbsp;</span></div><div><span style=font-family: 'Trebuchet MS'; font-size: large;>New Harmonised colours</span></div><div><span style=font-family: 'Trebuchet MS'; font-size: large;>&nbsp;</span></div><div><span style=font-family: 'Trebuchet MS'; font-size: large;>Choose from the drop down box for size and drum size (prices vary depending on choice)</span></div><div><span style=font-family: 'Trebuchet MS'; font-size: large;>&nbsp;</span></div><div><span style=font-family: 'Trebuchet MS'; font-size: large;>All power cables we sell are made by a manufacturer approved by BASEC (British Approvals Service for Electrical Cable)</span></div><div><span style=font-family: 'Trebuchet MS'; font-size: large;>&nbsp;</span></div><div><span style=font-family: 'Trebuchet MS'; font-size: large;>Price includes for delivery to UK Mainland addresses only excluding some Highlands and Islands Addresses. &nbsp;If you require delivery to such a location please message or call for a cost.</span></div><div><span style=font-family: 'Trebuchet MS'; font-size: large;>&nbsp;</span></div><div><span style=font-family: 'Trebuchet MS'; font-size: large;>PREFER TO PAY BY CARD? &nbsp;PLEASE CALL 01236 850025</span></div><div><span style=font-family: 'Trebuchet MS'; font-size: large;>&nbsp;</span></div><div><span style=font-family: 'Trebuchet MS'; font-size: large;>Please check out our other items:&nbsp;<a href=http://stores.ebay.co.uk/MCD-Electrical>click here</a></span></div><div><span style=font-family: 'Trebuchet MS'; font-size: large;>&nbsp;</span></div><div><span style=font-family: 'Trebuchet MS'; font-size: large;>Be sure to add us to your <a href=http://my.ebay.co.uk/ws/eBayISAPI.dll?AcceptSavedSeller&amp;sellerid=quik-kit&amp;sspageName=DB:FavList target=_blank> favourites list</a>!</span></div><p>&nbsp;</p><center></center><p>&nbsp;</p>,<p><span style=font-family: 'Trebuchet MS'; font-size: large;>Twin and Earth Cable and 3 core and Earth Cable</span></p><div><span style=font-family: 'Trebuchet MS'; font-size: large;>&nbsp;</span></div><div><span style=font-family: 'Trebuchet MS'; font-size: large;>New Harmonised colours</span></div><div><span style=font-family: 'Trebuchet MS'; font-size: large;>&nbsp;</span></div><div><span style=font-family: 'Trebuchet MS'; font-size: large;>Choose from the drop down box for size and drum size (prices vary depending on choice)</span></div><div><span style=font-family: 'Trebuchet MS'; font-size: large;>&nbsp;</span></div><div><span style=font-family: 'Trebuchet MS'; font-size: large;>All power cables we sell are made by a manufacturer approved by BASEC (British Approvals Service for Electrical Cable)</span></div><div><span style=font-family: 'Trebuchet MS'; font-size: large;>&nbsp;</span></div><div><span style=font-family: 'Trebuchet MS'; font-size: large;>Price includes for delivery to UK Mainland addresses only excluding some Highlands and Islands Addresses. &nbsp;If you require delivery to such a location please message or call for a cost.</span></div><div><span style=font-family: 'Trebuchet MS'; font-size: large;>&nbsp;</span></div><div><span style=font-family: 'Trebuchet MS'; font-size: large;>PREFER TO PAY BY CARD? &nbsp;PLEASE CALL 01236 850025</span></div><div><span style=font-family: 'Trebuchet MS'; font-size: large;>&nbsp;</span></div><div><span style=font-family: 'Trebuchet MS'; font-size: large;>Please check out our other items:&nbsp;<a href=http://stores.ebay.co.uk/MCD-Electrical>click here</a></span></div><div><span style=font-family: 'Trebuchet MS'; font-size: large;>&nbsp;</span></div><div><span style=font-family: 'Trebuchet MS'; font-size: large;>Be sure to add us to your <a href=http://my.ebay.co.uk/ws/eBayISAPI.dll?AcceptSavedSeller&amp;sellerid=quik-kit&amp;sspageName=DB:FavList target=_blank> favourites list</a>!</span></div><p>&nbsp;</p><center></center><p>&nbsp;</p>,1,0
6545,TE16X50,Twin & Earth Cable 6242YH 16 mm Grey (From 50 Metre Drum),2014-06-15T10:59:18.000+01:00,85,800,1,false,true,LIVE,UPC,NULL,N,N,1,Sales popup message,Warehouse popup message,T20,0,0,0,0,Primary Supplier Company - ambiguous,All suppliers - ambiguous,,,0,50
6547,TE16X50 x 50,50M X TWIN AND EARTH CABLE 6242YH 16 MM,2014-06-15T11:01:08.000+01:00,99,276,1,true,false,LIVE,UPC,NULL,** BUNDLE **,** BUNDLE **,3,Sales popup message,Warehouse popup message,T20,0,0,0,0,Primary Supplier Company - ambiguous,All suppliers - ambiguous,<p><span style=font-family: 'Trebuchet MS'; font-size: large;>Twin and Earth Cable and 3 core and Earth Cable</span></p><div><span style=font-family: 'Trebuchet MS'; font-size: large;>&nbsp;</span></div><div><span style=font-family: 'Trebuchet MS'; font-size: large;>New Harmonised colours</span></div><div><span style=font-family: 'Trebuchet MS'; font-size: large;>&nbsp;</span></div><div><span style=font-family: 'Trebuchet MS'; font-size: large;>Choose from the drop down box for size and drum size (prices vary depending on choice)</span></div><div><span style=font-family: 'Trebuchet MS'; font-size: large;>&nbsp;</span></div><div><span style=font-family: 'Trebuchet MS'; font-size: large;>All power cables we sell are made by a manufacturer approved by BASEC (British Approvals Service for Electrical Cable)</span></div><div><span style=font-family: 'Trebuchet MS'; font-size: large;>&nbsp;</span></div><div><span style=font-family: 'Trebuchet MS'; font-size: large;>Price includes for delivery to UK Mainland addresses only excluding some Highlands and Islands Addresses. &nbsp;If you require delivery to such a location please message or call for a cost.</span></div><div><span style=font-family: 'Trebuchet MS'; font-size: large;>&nbsp;</span></div><div><span style=font-family: 'Trebuchet MS'; font-size: large;>PREFER TO PAY BY CARD? &nbsp;PLEASE CALL 01236 850025</span></div><div><span style=font-family: 'Trebuchet MS'; font-size: large;>&nbsp;</span></div><div><span style=font-family: 'Trebuchet MS'; font-size: large;>Please check out our other items:&nbsp;<a href=http://stores.ebay.co.uk/MCD-Electrical>click here</a></span></div><div><span style=font-family: 'Trebuchet MS'; font-size: large;>&nbsp;</span></div><div><span style=font-family: 'Trebuchet MS'; font-size: large;>Be sure to add us to your <a href=http://my.ebay.co.uk/ws/eBayISAPI.dll?AcceptSavedSeller&amp;sellerid=quik-kit&amp;sspageName=DB:FavList target=_blank> favourites list</a>!</span></div><p>&nbsp;</p><center></center><p>&nbsp;</p>,<p><span style=font-family: 'Trebuchet MS'; font-size: large;>Twin and Earth Cable and 3 core and Earth Cable</span></p><div><span style=font-family: 'Trebuchet MS'; font-size: large;>&nbsp;</span></div><div><span style=font-family: 'Trebuchet MS'; font-size: large;>New Harmonised colours</span></div><div><span style=font-family: 'Trebuchet MS'; font-size: large;>&nbsp;</span></div><div><span style=font-family: 'Trebuchet MS'; font-size: large;>Choose from the drop down box for size and drum size (prices vary depending on choice)</span></div><div><span style=font-family: 'Trebuchet MS'; font-size: large;>&nbsp;</span></div><div><span style=font-family: 'Trebuchet MS'; font-size: large;>All power cables we sell are made by a manufacturer approved by BASEC (British Approvals Service for Electrical Cable)</span></div><div><span style=font-family: 'Trebuchet MS'; font-size: large;>&nbsp;</span></div><div><span style=font-family: 'Trebuchet MS'; font-size: large;>Price includes for delivery to UK Mainland addresses only excluding some Highlands and Islands Addresses. &nbsp;If you require delivery to such a location please message or call for a cost.</span></div><div><span style=font-family: 'Trebuchet MS'; font-size: large;>&nbsp;</span></div><div><span style=font-family: 'Trebuchet MS'; font-size: large;>PREFER TO PAY BY CARD? &nbsp;PLEASE CALL 01236 850025</span></div><div><span style=font-family: 'Trebuchet MS'; font-size: large;>&nbsp;</span></div><div><span style=font-family: 'Trebuchet MS'; font-size: large;>Please check out our other items:&nbsp;<a href=http://stores.ebay.co.uk/MCD-Electrical>click here</a></span></div><div><span style=font-family: 'Trebuchet MS'; font-size: large;>&nbsp;</span></div><div><span style=font-family: 'Trebuchet MS'; font-size: large;>Be sure to add us to your <a href=http://my.ebay.co.uk/ws/eBayISAPI.dll?AcceptSavedSeller&amp;sellerid=quik-kit&amp;sspageName=DB:FavList target=_blank> favourites list</a>!</span></div><p>&nbsp;</p><center></center><p>&nbsp;</p>,1,0
6548,TIS255,TEST INST. SOLUTIONS TIS255 POCKET DIGITAL MULTIMETER,2014-06-16T12:51:17.000+01:00,252,608,1,false,true,ARCHIVED,UPC,B00DM5DIM2,N,N,6,Sales popup message,Warehouse popup message,T20,405,240,160,65,Primary Supplier Company - ambiguous,All suppliers - ambiguous,<p>Digital Pocket Size Digital Multimeter with Temperature</p>,<p>TIS 255 Digital Pocket Size Digital Multimeter with Temperature</p><p>Robust &ldquo;Pocket Size&rdquo; Digital Multimeter with AC/DC voltage 600V DC Current 200&mu;a to 10A Resistance to 2m&Omega; -20&deg;C to 750&deg;C. Data hold Diode test Continuity buzzer Rubber boot and built in stand 2000 count lcd display.</p><p>SPECIFICATIONS<br />Basic Functions<br />DC Voltage 200mV 2V 20V 200V 600V &plusmn;0.5%<br />AC Voltage 200V 600V &plusmn;1.2%<br />DC Current 200&mu;A 2mA 20mA 200mA &plusmn;1.0% 10A &plusmn;3.0%<br />Resistance 200&Omega; 2k&Omega; 20k&Omega; 200k&Omega; 2M&Omega; &plusmn;0.8%<br />Special Functions<br />AC Voltage to 600V<br />DC Voltage 200mV to 600V<br />DC Current 200&mu;A to 10A DC V Accuracy &plusmn;0.5%<br />Resistance to 2M&Omega;<br />Temperature Range -20&deg;C to 750&deg;C<br />2000 Count Display<br />Data Hold<br />Diode Test<br />Continuity Buzzer<br />Rubber Housing with Built in Stand<br />Complete with Oven Thermocouple</p><p>GENERAL CHARACTERISTICS<br />Power 9V (6F22) MN1604<br />Weight 170g<br />Size 138mm x 69mm x 31mm</p>,0,0
6549,96502953,Thorn 96502953 VYEBNM Emergency Bulkhead Light Fitting 8 Watt 3 Hour Non-Maintained,2014-06-16T12:54:43.000+01:00,192,530,1,false,true,ARCHIVED,UPC,NULL,5037319014676,5037319014676,6,Sales popup message,Warehouse popup message,T20,1160,375,137,86,Primary Supplier Company - ambiguous,All suppliers - ambiguous,<p>8 Watt Emergency Bulkhead Light Fitting</p>,<h2>Thorn 96502953 VYEBNM Emergency Bulkhead Light Fitting 8 Watt 3 Hour Non-Maintained</h2><ul><li>Self contained emergency light with built in rechargeable battery</li><li>Light will come on in event of mains power failure</li><li>Non-maintained - designed to operate only when power fails</li><li>White polycarbonate body prismatic polycarbonate cover</li><li>Supplied with 8W fluorescent tube</li><li>IP65 - suitable for use outdoors or indoors</li><li>Supplied with Exit legend stickers</li></ul><p>Dimensions: 350mm wide x 117mm high x 80mm deep</p>,0,0
