Product ID,SKU,Product Name,Created Date,Brand,Categories,Type ID,Bundle,Stock Tracked,Status,UPC,ISBN,EAN,Barcode,Seasons,Sales popup message,Warehouse popup message,Tax Code,Weight,Height,Width,Length,Primary Supplier Company,All suppliers,Short Description,Long Description,Reorder Level,Reorder Quantity
8358,T100A-C,Greenbrook T100A-C Time Switch Socket Box Mounted 24 Hour Mechanical (New Model),2015-11-12T14:16:46.000Z,167,524,1,false,true,ARCHIVED,UPC,B017HD7E2Y,5012739638671,5012739638671,2,Sales popup message,Warehouse popup message,T20,165,185,125,65,Primary Supplier Company - ambiguous,All suppliers - ambiguous,<p>Socket Box Mounted Time Switch - 24hr</p>,<ul><li><span style=font-size: 12px;>Ideal for any general timing applications e.g. lighting security heating and combi boilers</span></li><li><span style=font-size: 12px;>Easy to use mechanical timer. 96 on / off settings. Power on indicator</span></li><li><span style=font-size: 12px;>Maximum load: 16 amp resistive 2 amp inductive</span></li><li><span style=font-size: 12px;>Fits any surface or flush standard electrical mounting box (not supplied).</span></li></ul>,2,6
8360,SLIGHT,Knightsbridge 'SLIGHT' Shaver Light Fitting Dual Voltage 60 Watt,2015-11-18T17:11:44.000Z,253,585,1,false,true,LIVE,UPC,B00A0I8I4M,5055559113782,5055559113782,2,Sales popup message,Warehouse popup message,T20,1060,500,80,80,Primary Supplier Company - ambiguous,All suppliers - ambiguous,,,2,10
8359,FPP-CP20B,Flexicon FPP-CP20B 10 metre Flexible PVC Conduit & Adaptors & Locknut Kit - 20mm Black [SOLD IN PACK - DO NOT SPLIT],2015-11-13T15:39:32.000Z,203,305,1,false,true,LIVE,UPC,B01AOJYBE2,5052446016676,5052446016676,1,Sales popup message,Warehouse popup message,T20,620,360,360,120,Primary Supplier Company - ambiguous,All suppliers - ambiguous,,,3,2
8362,ASLED6,Ansell ASLED6 Stormloc IP65 LED Non-Corrosive Fitting 42W 1800mm LED Grey,2015-11-19T16:46:54.000Z,91,312,1,false,true,LIVE,UPC,NULL,NULL,,5,Sales popup message,Warehouse popup message,T20,0,0,0,0,Primary Supplier Company - ambiguous,All suppliers - ambiguous,,,0,0
8361,DW050AHN-C,Greenbrook DW050AHN-C Wirefree Door Chime & Push Kit,2015-11-18T17:27:06.000Z,167,823,1,false,true,LIVE,UPC,B01867JA86,5012739635144,5012739635144,2,Sales popup message,Warehouse popup message,T20,310,260,235,62,Primary Supplier Company - ambiguous,All suppliers - ambiguous,,,0,0
8364,DOM048,Venture DOM048 LED Light Bulb GLS Style ES / E27 230 Volt 5000K Non Dimmable 11.6 Watt,2015-11-19T16:55:39.000Z,309,610,1,false,true,LIVE,UPC,NULL,5055788105398,5055788105398,6,Sales popup message,Warehouse popup message,T20,120,120,65,65,Primary Supplier Company - ambiguous,All suppliers - ambiguous,,,0,0
8363,ASLED6/M3,Ansell ASLED6/M3 Stormloc IP65 LED Non-Corrosive 42W 1800mm LED Grey - 3Hr Maintained Emergency,2015-11-19T16:53:05.000Z,91,312,1,false,true,LIVE,UPC,NULL,NULL,,5,Sales popup message,Warehouse popup message,T20,0,0,0,0,Primary Supplier Company - ambiguous,All suppliers - ambiguous,,,0,0
8366,FBN21B,BG Screwless Flatplate FBN21B Switched Socket 1 Gang DP 13 Amp (Black Nickel),2015-11-20T10:23:52.000Z,83,315,1,false,true,LIVE,UPC,B004R1ZRYM,5050765006750,5050765006750,1,Sales popup message,Warehouse popup message,T20,135,9.3,9,3.4,Primary Supplier Company - ambiguous,All suppliers - ambiguous,,,10,5
8365,FBN82P,BG Screwless Flatplate FBN82P Dimmer Switch 2 Gang 2 Way 400W (Black Nickel),2015-11-20T10:22:25.000Z,83,315,1,false,true,LIVE,UPC,B004R23WDE,5050765007047,5050765007047,1,Sales popup message,Warehouse popup message,T20,245,9.3,5,9,Primary Supplier Company - ambiguous,All suppliers - ambiguous,,,5,5
8368,FBN52,BG Screwless Flatplate FBN52 Switched Spur Connection Unit 13 Amp with Neon (Black Nickel),2015-11-20T10:26:28.000Z,83,315,1,false,true,LIVE,UPC,B00H2FQOE2,5050765006828,5050765006828,1,Sales popup message,Warehouse popup message,T20,135,9.3,9,3.4,Primary Supplier Company - ambiguous,All suppliers - ambiguous,,,5,5
